s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 1.5920000E+002, 0.0000000E+000, 1.5289859E-003,-5.9154072E-002,-9.6041133E-003,-1.1307821E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5840442E-004,-1.8030741E-001, 1.6433075E-004
 1.6000999E+002, 0.0000000E+000, 1.5480534E-003,-5.6329936E-002,-8.6695572E-003,-1.0804631E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4938875E-004,-1.7149775E-001, 1.6477587E-004
 1.6081000E+002, 0.0000000E+000, 1.5645032E-003,-5.0450332E-002,-1.0468739E-002,-1.2981120E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7017584E-003,-1.8916577E-001, 1.6551618E-004
 1.6161000E+002, 0.0000000E+000, 1.5693337E-003,-4.6908090E-002,-1.8041385E-002,-2.5864623E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8923449E-004,-3.2202637E-001, 1.6632261E-004
 1.6241000E+002, 0.0000000E+000, 1.5744098E-003,-5.3383285E-002,-2.1858567E-002,-2.7951586E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5318327E-004,-3.5318330E-001, 1.6710947E-004
 1.6321001E+002, 0.0000000E+000, 1.5486097E-003,-5.2955249E-002,-2.7581620E-002,-3.4091412E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5812811E-005,-4.1990238E-001, 1.6784428E-004
 1.6400999E+002, 0.0000000E+000, 1.5129420E-003,-5.3646802E-002,-2.5973362E-002,-3.0112191E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3908454E-004,-3.7922913E-001, 1.6852312E-004
 1.6481000E+002, 0.0000000E+000, 1.4938540E-003,-5.5325772E-002,-2.1175223E-002,-3.4736037E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2572941E-004,-4.2236751E-001, 1.6914981E-004
 1.6561000E+002, 0.0000000E+000, 1.5244355E-003,-5.5269139E-002,-2.0766421E-002,-3.2754346E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1314160E-003,-4.0205458E-001, 1.6973020E-004
 1.6641000E+002, 0.0000000E+000, 1.5391071E-003,-5.0617217E-002,-1.9579388E-002,-2.5592869E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.1226407E-004,-3.2458619E-001, 1.7026922E-004
 1.6721001E+002, 0.0000000E+000, 1.5622856E-003,-5.0749438E-002,-1.2814428E-002,-1.6952801E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8843004E-004,-2.3152959E-001, 1.7077399E-004
 1.6800999E+002, 0.0000000E+000, 1.5829230E-003,-5.2645337E-002,-1.5366274E-002,-2.0048878E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4309040E-004,-2.6691747E-001, 1.7124674E-004
 1.6881000E+002, 0.0000000E+000, 1.5720476E-003,-4.2973398E-002,-1.6479132E-002,-2.4699384E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5021490E-005,-3.0487432E-001, 1.7168931E-004
